时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,河北省,唐山,8,30.4,22,155.3
1981年-2010年,河北省,唐山,9,26.9,16.9,50.5
1981年-2010年,河北省,唐山,10,19.3,9,27.5
1981年-2010年,河北省,唐山,11,10.1,0.9,10
1981年-2010年,河北省,唐山,12,3.2,-5,3.6
1981年-2010年,河北省,邢台,1,3.9,-4.9,3.3
1981年-2010年,河北省,邢台,2,7.9,-1.7,6.1
1981年-2010年,河北省,邢台,3,14.2,3.7,12.8
1981年-2010年,河北省,邢台,4,21.9,10.6,18.9
1981年-2010年,河北省,邢台,5,27.4,16.1,44.4
1981年-2010年,河北省,邢台,6,32.1,21,46.3
1981年-2010年,河北省,邢台,7,32.1,23.2,146.5
1981年-2010年,河北省,邢台,8,30.6,22.1,122.2
1981年-2010年,河北省,邢台,9,26.9,17,53.9
1981年-2010年,河北省,邢台,10,21.2,10.3,26.7
1981年-2010年,河北省,邢台,11,12.3,2.5,11.7
1981年-2010年,河北省,邢台,12,5.7,-2.8,3.7
1981年-2010年,河北省,张家口,1,-2.2,-12.4,2.5
1981年-2010年,河北省,张家口,2,2.2,-9,3.1
1981年-2010年,河北省,张家口,3,9.1,-2.8,9.6
1981年-2010年,河北省,张家口,4,18.3,5.1,19.9
1981年-2010年,河北省,张家口,5,25,11.8,33.4
1981年-2010年,河北省,张家口,6,28.9,16.6,62.1
1981年-2010年,河北省,张家口,7,30.1,19.2,96.5
1981年-2010年,河北省,张家口,8,28.3,17.7,83.7
1981年-2010年,河北省,张家口,9,23.8,12,50.4
1981年-2010年,河北省,张家口,10,16.6,4.8,19.3
1981年-2010年,河北省,张家口,11,6.8,-3.7,5.6
1981年-2010年,河北省,张家口,12,-0.5,-10.2,2.6
1981年-2010年,河北省,安国,1,2.8,-8.4,2.4
1981年-2010年,河北省,安国,2,6.7,-4.8,4.5
1981年-2010年,河北省,安国,3,13.5,1.1,9.7
1981年-2010年,河北省,安国,4,21.4,8.4,21.8
1981年-2010年,河北省,安国,5,26.9,14.1,31.7
1981年-2010年,河北省,安国,6,31.7,19.3,58.1
1981年-2010年,河北省,安国,7,31.9,22.4,126.2
1981年-2010年,河北省,安国,8,30.2,21.1,121.4
1981年-2010年,河北省,安国,9,26.5,15.2,56.8
1981年-2010年,河北省,安国,10,20.5,8.2,22
1981年-2010年,河北省,安国,11,11.1,0.1,11.4
1981年-2010年,河北省,安国,12,4.3,-5.7,2.2
1981年-2010年,河北省,安平,1,2.8,-7.8,2
1981年-2010年,河北省,安平,2,6.9,-4.5,4.8
1981年-2010年,河北省,安平,3,13.5,1.5,10.2
1981年-2010年,河北省,安平,4,21.6,9,23.9
1981年-2010年,河北省,安平,5,27.3,14.6,37.1
1981年-2010年,河北省,安平,6,31.8,19.7,59.4
1981年-2010年,河北省,安平,7,32.1,22.6,139.2
1981年-2010年,河北省,安平,8,30.3,21.3,125.2
1981年-2010年,河北省,安平,9,26.6,15.6,51.6
1981年-2010年,河北省,安平,10,20.6,8.7,22.5
1981年-2010年,河北省,安平,11,11.2,0.4,11.4
1981年-2010年,河北省,安平,12,4.3,-5.4,2.7
1981年-2010年,河北省,安新,1,1.9,-10.7,2.4
1981年-2010年,河北省,安新,2,6.6,-6.3,3.8
1981年-2010年,河北省,安新,3,13.3,0.2,9.2
1981年-2010年,河北省,安新,4,20.8,7.4,21.1
1981年-2010年,河北省,安新,5,26.7,13.2,32.3
1981年-2010年,河北省,安新,6,31.3,18.5,58.5
1981年-2010年,河北省,安新,7,32.1,22.3,143.9
1981年-2010年,河北省,安新,8,30,20.5,109.5
1981年-2010年,河北省,安新,9,26.5,14.5,52.1
1981年-2010年,河北省,安新,10,19.9,7.1,21.8
1981年-2010年,河北省,安新,11,10.4,-1.3,10.7
1981年-2010年,河北省,安新,12,3.8,-7.6,2.4
1981年-2010年,河北省,霸州,1,2,-8.3,2.3
1981年-2010年,河北省,霸州,2,6,-5,4
1981年-2010年,河北省,霸州,3,12.8,1.1,8.4
1981年-2010年,河北省,霸州,4,21.3,8.7,19.6
1981年-2010年,河北省,霸州,5,27.2,14.7,31.1
1981年-2010年,河北省,霸州,6,31.3,19.6,69.8
1981年-2010年,河北省,霸州,7,31.9,22.6,152
1981年-2010年,河北省,霸州,8,30.5,21.5,113.2
1981年-2010年,河北省,霸州,9,26.7,15.8,47.8
1981年-2010年,河北省,霸州,10,20,8.6,22
1981年-2010年,河北省,霸州,11,10.5,0,10.4
1981年-2010年,河北省,霸州,12,3.7,-6,1.7
1981年-2010年,河北省,柏乡,1,3.6,-9.1,2.3
1981年-2010年,河北省,柏乡,2,7.6,-6,5.2
1981年-2010年,河北省,柏乡,3,13.9,0.4,11
1981年-2010年,河北省,柏乡,4,21.7,7.4,19.7
1981年-2010年,河北省,柏乡,5,27.2,13,37.5
1981年-2010年,河北省,柏乡,6,32.4,19,49.7
1981年-2010年,河北省,柏乡,7,32.4,22.1,126.2
1981年-2010年,河北省,柏乡,8,30.8,20.5,134.5
1981年-2010年,河北省,柏乡,9,27.2,14.5,63.1
1981年-2010年,河北省,柏乡,10,21.2,7.5,25.4
1981年-2010年,河北省,柏乡,11,11.6,-0.6,12.4
1981年-2010年,河北省,柏乡,12,5,-6.2,2.9
1981年-2010年,河北省,泊头,1,2.7,-7.8,2.6
1981年-2010年,河北省,泊头,2,6.7,-4.5,5.1
1981年-2010年,河北省,泊头,3,13.2,1.4,10.3
1981年-2010年,河北省,泊头,4,21.5,8.8,20.7
1981年-2010年,河北省,泊头,5,27.3,14.7,34.9
1981年-2010年,河北省,泊头,6,31.8,19.8,69.7
1981年-2010年,河北省,泊头,7,32,22.7,176.6
1981年-2010年,河北省,泊头,8,30.5,21.5,122.7
1981年-2010年,河北省,泊头,9,26.9,16,38.2
1981年-2010年,河北省,泊头,10,20.7,9.1,29.7
1981年-2010年,河北省,泊头,11,11.4,0.8,10.7
1981年-2010年,河北省,泊头,12,4.4,-5.3,2.8
1981年-2010年,河北省,曹妃甸,1,0.8,-8.6,3.1
1981年-2010年,河北省,曹妃甸,2,4,-5.5,4
1981年-2010年,河北省,曹妃甸,3,10,0.6,9.2
1981年-2010年,河北省,曹妃甸,4,18.2,8.2,22.6
1981年-2010年,河北省,曹妃甸,5,23.7,14.1,47
1981年-2010年,河北省,曹妃甸,6,27.3,18.9,78.8
1981年-2010年,河北省,曹妃甸,7,29.3,22.2,169.3
1981年-2010年,河北省,曹妃甸,8,29.2,21.5,141.9
1981年-2010年,河北省,曹妃甸,9,25.6,16,51.6
1981年-2010年,河北省,曹妃甸,10,18.9,8.6,27.2
1981年-2010年,河北省,曹妃甸,11,9.7,0.3,9.4
1981年-2010年,河北省,曹妃甸,12,2.8,-5.6,5.1
2014年-2014年,河北省,曹妃甸工业区,5,,,
2014年-2014年,河北省,曹妃甸工业区,6,,,
1981年-2010年,河北省,昌黎,1,0.8,-8.9,2.8
1981年-2010年,河北省,昌黎,2,4.1,-6,4.2
1981年-2010年,河北省,昌黎,3,10.2,-0.2,11.5
1981年-2010年,河北省,昌黎,4,18.4,7.3,28.7
1981年-2010年,河北省,昌黎,5,24,13.4,52.7
1981年-2010年,河北省,昌黎,6,27.6,18.1,83.4
1981年-2010年,河北省,昌黎,7,29.4,21.7,173.1
1981年-2010年,河北省,昌黎,8,29.3,20.9,143.9
1981年-2010年,河北省,昌黎,9,25.9,15.5,59.7
1981年-2010年,河北省,昌黎,10,19,8.3,29.2
1981年-2010年,河北省,昌黎,11,9.8,0.1,9.8
1981年-2010年,河北省,昌黎,12,3,-6,3.9
1981年-2010年,河北省,成安,1,4,-7,3.4
1981年-2010年,河北省,成安,2,8.1,-3.6,5.8
1981年-2010年,河北省,成安,3,14.1,1.9,14.1
1981年-2010年,河北省,成安,4,21.6,8.6,20.4
1981年-2010年,河北省,成安,5,27,14.1,41.7
1981年-2010年,河北省,成安,6,32.3,19.5,64.3
1981年-2010年,河北省,成安,7,31.8,22.3,147.2
1981年-2010年,河北省,成安,8,30.2,20.9,104.3
1981年-2010年,河北省,成安,9,26.8,15.3,48.1
1981年-2010年,河北省,成安,10,21.4,8.7,32.8
1981年-2010年,河北省,成安,11,12.7,0.7,12.3
1981年-2010年,河北省,成安,12,5.8,-4.8,3.8
1981年-2010年,河北省,承德县,1,-1.1,-14.3,1.8
1981年-2010年,河北省,承德县,2,3.9,-10,2.5
1981年-2010年,河北省,承德县,3,10.8,-2.9,9.3
1981年-2010年,河北省,承德县,4,19.7,5.3,24.7
1981年-2010年,河北省,承德县,5,25.9,11.6,45.3
1981年-2010年,河北省,承德县,6,29.5,16.6,91
1981年-2010年,河北省,承德县,7,30.7,19.8,140.2
1981年-2010年,河北省,承德县,8,29.7,18.4,131.9
1981年-2010年,河北省,承德县,9,25.3,11.8,54.9
1981年-2010年,河北省,承德县,10,18.2,4,26.6
1981年-2010年,河北省,承德县,11,8,-4.4,6.9
1981年-2010年,河北省,承德县,12,0.4,-11.5,2.7
1981年-2010年,河北省,赤城,1,-3.3,-16.5,1.3
1981年-2010年,河北省,赤城,2,0.8,-13.4,2.6
1981年-2010年,河北省,赤城,3,7.2,-7.2,7.8
1981年-2010年,河北省,赤城,4,16.1,0.7,18
1981年-2010年,河北省,赤城,5,22.6,7.7,36.4
1981年-2010年,河北省,赤城,6,26.4,13,69.3
1981年-2010年,河北省,赤城,7,27.5,16.2,114.4
1981年-2010年,河北省,赤城,8,26.3,14.6,87.9
1981年-2010年,河北省,赤城,9,22,8.1,53.5
1981年-2010年,河北省,赤城,10,15,0.9,19.3
1981年-2010年,河北省,赤城,11,5.5,-7.7,5.7
1981年-2010年,河北省,赤城,12,-1.6,-14.1,1.7
1981年-2010年,河北省,崇礼,1,-5.7,-20.7,4.6
1981年-2010年,河北省,崇礼,2,-1.5,-16.6,5.6
1981年-2010年,河北省,崇礼,3,5,-8.9,12.1
1981年-2010年,河北省,崇礼,4,13.8,-1.3,24.7
1981年-2010年,河北省,崇礼,5,20.4,5.2,44.3
1981年-2010年,河北省,崇礼,6,24.5,10.2,72.7
1981年-2010年,河北省,崇礼,7,26.2,13.4,109.3
1981年-2010年,河北省,崇礼,8,24.7,11.7,95.1
1981年-2010年,河北省,崇礼,9,20,5.6,57.8
1981年-2010年,河北省,崇礼,10,12.9,-1.2,25.4
1981年-2010年,河北省,崇礼,11,3.5,-10.4,9
1981年-2010年,河北省,崇礼,12,-3.8,-17.8,4.8
1981年-2010年,河北省,磁县,1,4.1,-6.8,3.4
1981年-2010年,河北省,磁县,2,8.2,-3.7,6.2
1981年-2010年,河北省,磁县,3,13.9,1.7,14.3
1981年-2010年,河北省,磁县,4,21,8.1,19.5
1981年-2010年,河北省,磁县,5,26.3,13.5,42.8
1981年-2010年,河北省,磁县,6,32.2,19,57.3
1981年-2010年,河北省,磁县,7,31.7,22.2,140.3
1981年-2010年,河北省,磁县,8,30,20.8,125.3
1981年-2010年,河北省,磁县,9,26.7,15.2,52.2
1981年-2010年,河北省,磁县,10,21.3,8.8,31.4
1981年-2010年,河北省,磁县,11,12.7,0.8,12.8
1981年-2010年,河北省,磁县,12,6,-4.5,3.8
1981年-2010年,河北省,大厂,1,1.3,-9.7,3
1981年-2010年,河北省,大厂,2,5.5,-6.5,3.6
1981年-2010年,河北省,大厂,3,12.7,0,9.5
1981年-2010年,河北省,大厂,4,20.2,7.4,20.5
1981年-2010年,河北省,大厂,5,26.8,13.4,41.9
1981年-2010年,河北省,大厂,6,30.4,18.7,75
1981年-2010年,河北省,大厂,7,31.6,22,171
1981年-2010年,河北省,大厂,8,30.2,20.5,143.3
1981年-2010年,河北省,大厂,9,26.4,14.5,49.3
1981年-2010年,河北省,大厂,10,19.1,6.9,24.9
1981年-2010年,河北省,大厂,11,9.9,-1.3,10.9
1981年-2010年,河北省,大厂,12,2.9,-7.2,2.7
1981年-2010年,河北省,大城,1,2.2,-9.4,2.9
1981年-2010年,河北省,大城,2,6.2,-5.9,4.4
1981年-2010年,河北省,大城,3,12.9,0.3,10.6
1981年-2010年,河北省,大城,4,21.4,8,20.2
1981年-2010年,河北省,大城,5,27.2,13.9,33.7
1981年-2010年,河北省,大城,6,31.5,19.3,62.1
1981年-2010年,河北省,大城,7,32,22.3,158.8
1981年-2010年,河北省,大城,8,30.6,21.2,115.6
1981年-2010年,河北省,大城,9,26.9,15.3,42.4
1981年-2010年,河北省,大城,10,20.4,8,27.6
1981年-2010年,河北省,大城,11,10.9,-0.5,11.1
1981年-2010年,河北省,大城,12,3.9,-6.7,2.4
1981年-2010年,河北省,大名,1,3.9,-6.4,4.5
1981年-2010年,河北省,大名,2,8,-3,6.1
1981年-2010年,河北省,大名,3,13.9,2.3,14.2
1981年-2010年,河北省,大名,4,21.2,8.8,21.1
1981年-2010年,河北省,大名,5,26.6,14.3,47
1981年-2010年,河北省,大名,6,32,19.9,62.5
1981年-2010年,河北省,大名,7,31.8,22.7,134.5
1981年-2010年,河北省,大名,8,30.4,21.3,118.6
1981年-2010年,河北省,大名,9,27,15.9,53.5
1981年-2010年,河北省,大名,10,21.4,9.6,31.3
1981年-2010年,河北省,大名,11,12.7,1.6,14.7
1981年-2010年,河北省,大名,12,5.7,-4.2,4.7
1981年-2010年,河北省,定州,1,2.8,-7.9,2.4
1981年-2010年,河北省,定州,2,6.7,-4.4,4.8
1981年-2010年,河北省,定州,3,13.3,1.4,10
1981年-2010年,河北省,定州,4,21.3,8.7,21
1981年-2010年,河北省,定州,5,26.8,14.3,35.3
1981年-2010年,河北省,定州,6,31.3,19.3,57.1
1981年-2010年,河北省,定州,7,31.7,22.2,133.4
1981年-2010年,河北省,定州,8,30,20.9,120.6
1981年-2010年,河北省,定州,9,26.4,15.3,47.8
1981年-2010年,河北省,定州,10,20.2,8.5,21.8
1981年-2010年,河北省,定州,11,11.1,0.5,10.3
1981年-2010年,河北省,定州,12,4.4,-5.3,2.2
1981年-2010年,河北省,东光,1,2.8,-7.5,3.2
1981年-2010年,河北省,东光,2,6.7,-4.5,5.8
1981年-2010年,河北省,东光,3,13,1.2,11.1
1981年-2010年,河北省,东光,4,21.3,8.6,20.9
1981年-2010年,河北省,东光,5,26.9,14.5,37.6
1981年-2010年,河北省,东光,6,31.5,19.6,71.3
1981年-2010年,河北省,东光,7,31.7,22.5,174.5
1981年-2010年,河北省,东光,8,30.3,21.4,113.6
1981年-2010年,河北省,东光,9,26.8,15.9,40
1981年-2010年,河北省,东光,10,20.7,9,29.4
1981年-2010年,河北省,东光,11,11.6,0.9,11.4
1981年-2010年,河北省,东光,12,4.5,-5.2,3.6
1981年-2010年,河北省,肥乡,1,3.8,-7.2,3.6
1981年-2010年,河北省,肥乡,2,8,-3.8,6.2
1981年-2010年,河北省,肥乡,3,14.1,1.8,13.4
1981年-2010年,河北省,肥乡,4,21.6,8.5,24.3
1981年-2010年,河北省,肥乡,5,27.2,14,42.5
1981年-2010年,河北省,肥乡,6,32.4,19.5,59.2
1981年-2010年,河北省,肥乡,7,31.9,22.4,152
1981年-2010年,河北省,肥乡,8,30.3,21,107.5
1981年-2010年,河北省,肥乡,9,26.9,15.3,48.9
1981年-2010年,河北省,肥乡,10,21.4,8.6,31.3
1981年-2010年,河北省,肥乡,11,12.6,0.6,12.1
1981年-2010年,河北省,肥乡,12,5.6,-5,4.2
1981年-2010年,河北省,丰南,1,1.4,-10.1,3.3
1981年-2010年,河北省,丰南,2,5.2,-6.8,3.9
1981年-2010年,河北省,丰南,3,11.5,-0.6,9
1981年-2010年,河北省,丰南,4,19.9,7.1,23.5
1981年-2010年,河北省,丰南,5,25.4,13,44.9
1981年-2010年,河北省,丰南,6,29.2,18.1,76.5
1981年-2010年,河北省,丰南,7,30.5,21.8,174.4
1981年-2010年,河北省,丰南,8,29.9,20.9,139.4
1981年-2010年,河北省,丰南,9,26.4,15,56.1
1981年-2010年,河北省,丰南,10,19.5,7.7,27
1981年-2010年,河北省,丰南,11,10.1,-0.8,10.7
1981年-2010年,河北省,丰南,12,3.2,-7,4.2
1981年-2010年,河北省,丰宁,1,-2.9,-16.7,1
1981年-2010年,河北省,丰宁,2,1.4,-13.1,3
1981年-2010年,河北省,丰宁,3,8.2,-6.5,6.6
1981年-2010年,河北省,丰宁,4,17.3,1.8,19.1
1981年-2010年,河北省,丰宁,5,23.8,8.7,37
1981年-2010年,河北省,丰宁,6,27.5,14,74.1
1981年-2010年,河北省,丰宁,7,28.7,17.2,123.6
1981年-2010年,河北省,丰宁,8,27.3,15.5,96.6
1981年-2010年,河北省,丰宁,9,22.9,8.8,59.7
1981年-2010年,河北省,丰宁,10,15.8,1.3,19.8
1981年-2010年,河北省,丰宁,11,5.9,-7.5,4.6
1981年-2010年,河北省,丰宁,12,-1.3,-14.4,1.5
1981年-2010年,河北省,丰润,1,1,-10.2,3.1
1981年-2010年,河北省,丰润,2,4.9,-6.7,3.9
1981年-2010年,河北省,丰润,3,11.4,-0.5,9.9
1981年-2010年,河北省,丰润,4,19.9,7.3,26.2
1981年-2010年,河北省,丰润,5,25.8,13.4,46
1981年-2010年,河北省,丰润,6,29.6,18.4,93
1981年-2010年,河北省,丰润,7,30.5,21.6,187.1
1981年-2010年,河北省,丰润,8,29.8,20.6,160.4
1981年-2010年,河北省,丰润,9,26.2,14.8,61
1981年-2010年,河北省,丰润,10,19.2,7.6,27.9
1981年-2010年,河北省,丰润,11,9.7,-1,10.1
1981年-2010年,河北省,丰润,12,2.8,-7.3,3.7
1981年-2010年,河北省,峰峰,1,4.6,-4.1,3.4
1981年-2010年,河北省,峰峰,2,8.5,-1.2,6.1
1981年-2010年,河北省,峰峰,3,14.4,3.9,13.7
1981年-2010年,河北省,峰峰,4,22.2,10.7,20.9
1981年-2010年,河北省,峰峰,5,27.6,16.3,42.2
1981年-2010年,河北省,峰峰,6,32,20.9,50.9
1981年-2010年,河北省,峰峰,7,31.9,23.2,136.5
1981年-2010年,河北省,峰峰,8,30.4,22.1,137.3
1981年-2010年,河北省,峰峰,9,26.9,17.2,50.6
1981年-2010年,河北省,峰峰,10,21.5,11,30.8
1981年-2010年,河北省,峰峰,11,13.3,3.4,12.5
1981年-2010年,河北省,峰峰,12,6.7,-2.1,3.6
1981年-2010年,河北省,抚宁,1,0.5,-10.2,3.1
1981年-2010年,河北省,抚宁,2,4.1,-7.2,3.5
1981年-2010年,河北省,抚宁,3,10.3,-1.1,10.7
1981年-2010年,河北省,抚宁,4,18.8,6.7,26.4
1981年-2010年,河北省,抚宁,5,24.4,13.1,49.9
1981年-2010年,河北省,抚宁,6,27.6,18,89.7
1981年-2010年,河北省,抚宁,7,29.3,21.4,187.9
1981年-2010年,河北省,抚宁,8,29.3,20.5,154.8
1981年-2010年,河北省,抚宁,9,25.9,14.7,57.6
1981年-2010年,河北省,抚宁,10,19,7.3,27.7
1981年-2010年,河北省,抚宁,11,9.6,-0.7,9.4
1981年-2010年,河北省,抚宁,12,2.6,-7.1,3.7
1981年-2010年,河北省,阜城,1,2.9,-7.7,2.4
1981年-2010年,河北省,阜城,2,7,-4.5,5.4
1981年-2010年,河北省,阜城,3,13.5,1.5,11
1981年-2010年,河北省,阜城,4,21.8,8.8,21.1
1981年-2010年,河北省,阜城,5,27.5,14.7,38.6
1981年-2010年,河北省,阜城,6,32.1,19.9,69.6
1981年-2010年,河北省,阜城,7,32.1,22.6,159.8
1981年-2010年,河北省,阜城,8,30.5,21.3,128.2
1981年-2010年,河北省,阜城,9,27,15.8,38.9
1981年-2010年,河北省,阜城,10,20.9,9,28.9
1981年-2010年,河北省,阜城,11,11.7,0.8,10.8
1981年-2010年,河北省,阜城,12,4.6,-5.3,3.1
1981年-2010年,河北省,阜平,1,3.3,-8.4,2.4
1981年-2010年,河北省,阜平,2,6.7,-5,4.2
1981年-2010年,河北省,阜平,3,12.9,1,10.3
1981年-2010年,河北省,阜平,4,21.4,8.6,18.9
1981年-2010年,河北省,阜平,5,27.2,14.3,40.3
1981年-2010年,河北省,阜平,6,30.7,18.9,74.6
1981年-2010年,河北省,阜平,7,31,21.6,169.8
1981年-2010年,河北省,阜平,8,29.6,20.3,153.7
1981年-2010年,河北省,阜平,9,26,14.9,63.3
1981年-2010年,河北省,阜平,10,20.3,7.9,20.8
1981年-2010年,河北省,阜平,11,11.8,-0.2,11.4
1981年-2010年,河北省,阜平,12,5.2,-6.1,2.4
1981年-2010年,河北省,高碑店,1,2,-9.6,2.3
1981年-2010年,河北省,高碑店,2,6,-5.9,3.7
1981年-2010年,河北省,高碑店,3,12.7,0.4,10.1
1981年-2010年,河北省,高碑店,4,20.8,7.9,22.8
1981年-2010年,河北省,高碑店,5,26.5,13.7,36.6
1981年-2010年,河北省,高碑店,6,30.8,18.8,61.4
1981年-2010年,河北省,高碑店,7,31.4,22.1,145.5
1981年-2010年,河北省,高碑店,8,29.9,20.6,125.1
1981年-2010年,河北省,高碑店,9,26.3,14.5,49.9
1981年-2010年,河北省,高碑店,10,19.7,7.5,21.2
1981年-2010年,河北省,高碑店,11,10.2,-0.8,10
1981年-2010年,河北省,高碑店,12,3.5,-6.9,2.4
1981年-2010年,河北省,高阳,1,2.3,-9.8,2.2
1981年-2010年,河北省,高阳,2,6.5,-6.1,4
1981年-2010年,河北省,高阳,3,13.2,0.3,9.6
1981年-2010年,河北省,高阳,4,21.4,7.8,20.4
1981年-2010年,河北省,高阳,5,27.1,13.7,34.2
1981年-2010年,河北省,高阳,6,31.6,18.9,65.8
1981年-2010年,河北省,高阳,7,31.9,22.1,130.9
1981年-2010年,河北省,高阳,8,30.2,20.7,107
1981年-2010年,河北省,高阳,9,26.6,14.6,49.5
1981年-2010年,河北省,高阳,10,20.4,7.4,21.9
1981年-2010年,河北省,高阳,11,10.8,-1,11.5
1981年-2010年,河北省,高阳,12,3.9,-7,2.3
1981年-2010年,河北省,高邑,1,3.5,-7.2,2.6
1981年-2010年,河北省,高邑,2,7.5,-3.9,5.5
1981年-2010年,河北省,高邑,3,13.9,1.8,11.8
1981年-2010年,河北省,高邑,4,21.6,8.7,19.9
1981年-2010年,河北省,高邑,5,27,14.4,39.5
1981年-2010年,河北省,高邑,6,32.2,19.8,55.9
1981年-2010年,河北省,高邑,7,32.1,22.5,124.8
1981年-2010年,河北省,高邑,8,30.3,21.1,143.2
1981年-2010年,河北省,高邑,9,26.8,15.7,59.6
1981年-2010年,河北省,高邑,10,21,9,24.6
1981年-2010年,河北省,高邑,11,11.7,0.8,13.8
1981年-2010年,河北省,高邑,12,5,-4.8,3
1981年-2010年,河北省,沽源,1,-9.6,-22.9,4
1981年-2010年,河北省,沽源,2,-4.8,-19.1,5.2
1981年-2010年,河北省,沽源,3,2.5,-10.9,9
1981年-2010年,河北省,沽源,4,11.7,-2.4,18.6
1981年-2010年,河北省,沽源,5,18.8,4.3,34.8
1981年-2010年,河北省,沽源,6,23.2,9.9,67.7
1981年-2010年,河北省,沽源,7,24.9,13.1,93.8
1981年-2010年,河北省,沽源,8,23.5,11.4,83.5
1981年-2010年,河北省,沽源,9,18.6,5.3,47.2
1981年-2010年,河北省,沽源,10,10.8,-2.3,22.2
1981年-2010年,河北省,沽源,11,0.6,-11.9,8
1981年-2010年,河北省,沽源,12,-7.1,-19.5,4.4
1981年-2010年,河北省,故城,1,3.3,-7.3,2.8
1981年-2010年,河北省,故城,2,7.3,-4,6.1
1981年-2010年,河北省,故城,3,13.6,1.7,11.2
1981年-2010年,河北省,故城,4,21.6,8.8,20.3
1981年-2010年,河北省,故城,5,27.2,14.5,38.9
1981年-2010年,河北省,故城,6,32,19.7,54.1
1981年-2010年,河北省,故城,7,31.8,22.5,139.4
1981年-2010年,河北省,故城,8,30.4,21.1,124.9
1981年-2010年,河北省,故城,9,26.9,15.6,42.8
1981年-2010年,河北省,故城,10,21.1,8.9,30.9
1981年-2010年,河北省,故城,11,12,0.9,10.7
1981年-2010年,河北省,故城,12,5,-5.1,4
1981年-2010年,河北省,固安,1,1.8,-9.5,2.2
1981年-2010年,河北省,固安,2,5.8,-5.7,4
1981年-2010年,河北省,固安,3,12.5,0.5,9.2
1981年-2010年,河北省,固安,4,21,8,24.2
1981年-2010年,河北省,固安,5,26.7,13.8,35.2
1981年-2010年,河北省,固安,6,30.7,18.9,63.2
1981年-2010年,河北省,固安,7,31.3,22,157.5
1981年-2010年,河北省,固安,8,30,20.7,125.6
1981年-2010年,河北省,固安,9,26.3,14.6,50
1981年-2010年,河北省,固安,10,19.7,7.3,25.8
1981年-2010年,河北省,固安,11,10.2,-1,9.9
1981年-2010年,河北省,固安,12,3.5,-7,1.7
1981年-2010年,河北省,馆陶,1,3.8,-6.7,3.7
1981年-2010年,河北省,馆陶,2,7.9,-3.2,6.5
1981年-2010年,河北省,馆陶,3,14,2.3,12.8
1981年-2010年,河北省,馆陶,4,21.6,9.2,21.4
1981年-2010年,河北省,馆陶,5,27,14.7,52.9
1981年-2010年,河北省,馆陶,6,31.8,20,67.6
1981年-2010年,河北省,馆陶,7,31.7,22.7,144.9
1981年-2010年,河北省,馆陶,8,30.3,21.2,119.3
1981年-2010年,河北省,馆陶,9,26.8,15.7,52.4
1981年-2010年,河北省,馆陶,10,21.3,9.3,34.9
1981年-2010年,河北省,馆陶,11,12.6,1.3,13.4
1981年-2010年,河北省,馆陶,12,5.6,-4.5,4.2
1981年-2010年,河北省,广平,1,3.8,-6.7,3.9
1981年-2010年,河北省,广平,2,7.9,-3.4,6.4
1981年-2010年,河北省,广平,3,13.9,2,14.8
1981年-2010年,河北省,广平,4,21.2,8.5,22.9
1981年-2010年,河北省,广平,5,26.6,13.9,44.5
1981年-2010年,河北省,广平,6,32,19.5,64.9
1981年-2010年,河北省,广平,7,31.9,22.5,142.3
1981年-2010年,河北省,广平,8,30.3,21,111.9
1981年-2010年,河北省,广平,9,26.8,15.4,51.9
1981年-2010年,河北省,广平,10,21.3,9.1,33.1
1981年-2010年,河北省,广平,11,12.5,1,13.7
1981年-2010年,河北省,广平,12,5.5,-4.5,4.4
1981年-2010年,河北省,广宗,1,3.6,-7.5,2.7
1981年-2010年,河北省,广宗,2,7.8,-4,6.4
1981年-2010年,河北省,广宗,3,14.2,1.8,12.5
1981年-2010年,河北省,广宗,4,22.2,8.8,18.2
1981年-2010年,河北省,广宗,5,27.7,14.5,43.8
1981年-2010年,河北省,广宗,6,32.4,19.9,54.9
1981年-2010年,河北省,广宗,7,32.1,22.6,132.4
1981年-2010年,河北省,广宗,8,30.4,21.2,118.8
1981年-2010年,河北省,广宗,9,27,15.6,47.5
